,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Puntaje
203334,8,8,8,9,8,8,8,8,9,9,9,9,9,8,8,8,8,8,9,9,8.4
203335,9,10,10,9,8,8,9,9,9,10,10,8,9,10,9,8,9,9,10,10,9.15
203366,8,8,8,8,7,6,7,6,6,8,7,7,6,5,6,7,5,6,5,6,6.6
203367,8,7,7,6,8,7,6,7,4,8,7,7,6,6,7,7,6,7,6,8,6.75
203368,7,6,7,5,8,6,5,7,6,6,7,5,5,5,5,5,6,4,5,6,5.8
203369,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
203370,7,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
203371,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
203372,5,5,5,7,6,7,6,7,6,7,6,7,6,7,6,6,6,6,7,7,6.25
203373,10,10,10,10,10,8,8,8,10,10,10,10,10,8,10,10,10,10,10,9,9.55
203374,8,6,6,7,4,6,4,6,5,5,7,8,7,6,6,6,6,6,6,6,6.05
203375,10,9,9,8,8,9,10,10,9,8,8,10,10,9,9,9,10,8,10,9,9.1
203376,3,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,4,4,4,4.3
203377,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4.5
203378,9,9,9,10,9,9,9,8,9,9,9,9,8,10,9,9,9,9,9,10,9.05
203379,9,8,5,6,7,7,7,8,4,4,1,1,5,5,5,9,5,9,6,6,5.85
203380,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,5,7,6.8
203381,5,7,6,8,5,3,5,6,5,7,6,4,5,5,6,6,3,6,5,5,5.4
203382,9,7,7,8,6,4,6,6,6,4,7,7,8,6,5,9,7,7,5,6,6.5
203383,3,5,6,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5.4
203384,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0
203385,7,7,7,7,7,7,7,7,7,7,6,7,6,6,6,7,7,7,7,7,6.8
203386,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.05
203387,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
203388,8,8,7,7,6,5,7,8,8,6,7,6,7,4,7,6,5,5,6,6,6.45
203389,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
203390,8,8,7,8,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,7.8
203391,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
203392,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
221880,9,6,6,8,8,8,8,8,8,6,6,6,6,6,6,7,6,6,5,5,6.7
221881,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.1
221882,8,7,3,6,3,7,5,9,7,9,5,9,8,5,6,9,6,8,6,10,6.8
221883,8,5,6,5,5,5,5,5,5,5,5,7,7,8,5,6,5,5,7,6,5.75
221884,8,9,8,8,9,8,8,9,8,9,8,8,9,9,9,9,9,9,9,9,8.6
221885,8,9,8,9,8,9,7,9,8,9,8,9,8,8,9,8,9,8,9,8,8.4
221886,10,9,10,10,9,10,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9.25
221887,6,6,7,7,7,7,7,6,6,8,7,6,6,5,6,7,6,6,6,6,6.4
221888,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
221889,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
221890,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0
221891,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
221892,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,8.5
221893,9,9,9,9,8,9,8,9,9,10,10,10,9,10,8,9,10,9,10,9,9.15
221894,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,8.25
221895,9,9,10,9,9,8,9,8,9,9,10,9,8,9,9,9,8,9,9,8,8.85
221896,9,8,9,8,9,9,8,9,9,9,8,8,8,8,8,8,9,9,9,9,8.55
221897,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
221898,10,10,9,9,10,9,9,10,10,9,9,10,10,10,9,10,10,10,10,10,9.65
221899,8,7,8,7,8,7,8,7,8,7,8,7,8,8,7,8,8,9,10,10,7.9
221900,6,6,7,6,7,7,5,6,7,7,6,6,5,7,7,6,7,7,6,7,6.4
221901,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3.45
221902,9,10,10,10,10,9,9,10,9,10,9,9,9,9,9,9,10,10,10,10,9.5
221903,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
221904,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,10,9.55
221905,7,6,7,8,8,8,8,8,8,7,8,9,8,8,8,8,9,9,8,8,7.9
221906,6,6,7,6,8,7,7,6,8,6,7,8,8,7,7,6,8,6,7,8,6.95
221907,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
221908,8,8,8,9,8,9,8,9,9,9,8,8,8,9,8,8,9,9,9,8,8.45
221909,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
221910,8,8,8,8,8,8,9,8,9,9,9,9,9,8,8,8,8,8,8,8,8.3
221911,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,6,4,3.95
221912,9,10,9,9,10,9,8,8,9,8,9,10,8,7,8,8,9,8,7,9,8.6
221913,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,8.5
221914,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
221915,4,8,7,6,7,6,7,8,8,8,8,8,9,8,8,8,9,7,7,8,7.45
221916,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,9,9,9,9,8.7
221917,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
221918,7,7,6,7,10,8,10,8,8,7,10,8,8,10,8,8,7,7,7,7,7.9
221938,6,5,7,6,5,8,7,6,7,8,6,7,8,6,7,8,6,7,8,7,6.75
221939,8,8,8,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,8,9,8.4
221940,1,3,5,1,4,1,1,5,10,5,5,3,4,1,5,7,2,1,1,1,3.3
221941,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
221942,6,5,6,6,6,5,6,6,6,5,5,6,5,5,5,5,6,6,6,6,5.6
221943,8,9,7,9,7,8,7,8,8,9,8,7,8,9,8,7,8,7,8,7,7.85
221944,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
221945,8,8,10,1,8,2,3,4,3,5,5,1,1,1,10,7,1,3,2,2,4.25
221946,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
221947,7,6,7,6,6,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6.25
221948,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
221949,9,9,9,8,8,9,8,8,9,8,9,9,9,9,9,9,8,9,9,8,8.65
221950,5,5,7,6,4,5,5,5,6,9,6,5,5,5,5,7,7,7,7,6,5.85
221951,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.05
221952,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
221953,6,7,8,8,8,7,6,8,8,9,8,7,8,6,5,5,8,5,7,7,7.05
221954,8,8,7,8,7,8,9,7,8,8,8,7,6,7,8,7,6,6,7,6,7.3
221955,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,10,9.4
221956,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
221957,6,7,7,6,8,7,8,6,7,7,7,7,8,9,9,7,8,8,9,8,7.45
221958,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
221959,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.95
221960,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0
221961,9,10,9,10,9,9,10,9,10,10,10,10,9,9,9,10,9,9,9,9,9.4
221962,2,2,4,4,2,4,1,3,2,4,4,4,2,2,2,6,5,2,3,3,3.05
221963,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0
221964,2,2,2,2,2,2,3,2,1,1,1,3,2,2,2,2,3,2,2,2,2.0
221965,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
221966,10,9,9,10,8,9,9,10,8,8,7,8,8,9,10,9,9,9,9,10,8.9
221967,9,9,9,9,9,10,9,9,9,9,10,9,9,10,9,9,9,10,10,10,9.3
221968,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
221969,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
221970,3,3,4,3,1,2,3,4,2,3,2,2,3,3,3,2,2,3,3,2,2.65
221971,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
221972,9,8,9,8,8,7,8,8,8,8,8,7,9,9,10,10,10,9,10,10,8.65
221973,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.3
221974,8,10,8,10,9,9,10,8,9,8,10,8,8,9,10,9,8,10,9,10,9.0
